[iter=39740] rollout_mean_bb=6.0527 policy_loss=-0.137538 value_loss=1.745294
[iter=39745] rollout_mean_bb=14.7080 policy_loss=0.016040 value_loss=1.867058
[iter=39750] rollout_mean_bb=16.0947 policy_loss=-0.045828 value_loss=1.572351
[iter=39755] rollout_mean_bb=8.5869 policy_loss=0.034305 value_loss=1.946001
[iter=39760] rollout_mean_bb=13.8809 policy_loss=-0.081457 value_loss=1.573624
[iter=39765] rollout_mean_bb=20.9463 policy_loss=-0.006245 value_loss=1.671920
[iter=39770] rollout_mean_bb=13.3711 policy_loss=0.046861 value_loss=2.297148
[iter=39775] rollout_mean_bb=19.2852 policy_loss=0.089891 value_loss=2.132845
[iter=39780] rollout_mean_bb=21.2529 policy_loss=-0.065564 value_loss=1.446791
[iter=39785] rollout_mean_bb=20.5635 policy_loss=0.104155 value_loss=2.063895
[iter=39790] rollout_mean_bb=12.3574 policy_loss=-0.024322 value_loss=1.728583
[iter=39795] rollout_mean_bb=17.7490 policy_loss=0.034072 value_loss=1.561791
[iter=39800] rollout_mean_bb=15.3916 policy_loss=0.028242 value_loss=1.901843
[iter=39805] rollout_mean_bb=8.6973 policy_loss=0.010287 value_loss=2.041658
[iter=39810] rollout_mean_bb=14.0664 policy_loss=-0.024253 value_loss=1.505316
[iter=39815] rollout_mean_bb=16.2627 policy_loss=0.002271 value_loss=1.741720
[iter=39820] rollout_mean_bb=4.5176 policy_loss=-0.021642 value_loss=2.085854
[iter=39825] rollout_mean_bb=10.9785 policy_loss=-0.003623 value_loss=2.193596
[iter=39830] rollout_mean_bb=9.5303 policy_loss=-0.028203 value_loss=1.511479
[iter=39835] rollout_mean_bb=8.5303 policy_loss=-0.029732 value_loss=1.924178
[iter=39840] rollout_mean_bb=9.4014 policy_loss=0.022135 value_loss=1.985066
[iter=39845] rollout_mean_bb=20.4658 policy_loss=0.026243 value_loss=1.949132
[iter=39850] rollout_mean_bb=5.8594 policy_loss=0.028492 value_loss=2.079248
[iter=39855] rollout_mean_bb=16.8848 policy_loss=0.020719 value_loss=2.375406
[iter=39860] rollout_mean_bb=18.0879 policy_loss=-0.045160 value_loss=1.774513
[iter=39865] rollout_mean_bb=4.3525 policy_loss=0.007684 value_loss=1.950632
[iter=39870] rollout_mean_bb=11.6172 policy_loss=0.043965 value_loss=2.178286
[iter=39875] rollout_mean_bb=8.2988 policy_loss=0.079769 value_loss=2.026014
[iter=39880] rollout_mean_bb=16.3018 policy_loss=0.013997 value_loss=1.863953
[iter=39885] rollout_mean_bb=14.9551 policy_loss=-0.109733 value_loss=1.574613
[iter=39890] rollout_mean_bb=11.1895 policy_loss=0.018532 value_loss=1.921358
[iter=39895] rollout_mean_bb=12.2422 policy_loss=0.019169 value_loss=2.149335
[iter=39900] rollout_mean_bb=19.6006 policy_loss=-0.004344 value_loss=1.768192
[iter=39905] rollout_mean_bb=23.8301 policy_loss=0.009920 value_loss=1.912101
[iter=39910] rollout_mean_bb=8.0771 policy_loss=-0.014988 value_loss=2.007296
[iter=39915] rollout_mean_bb=10.4688 policy_loss=0.057618 value_loss=2.075372
[iter=39920] rollout_mean_bb=8.5859 policy_loss=-0.010545 value_loss=2.140425
[iter=39925] rollout_mean_bb=12.5537 policy_loss=0.038422 value_loss=1.704164
[iter=39930] rollout_mean_bb=6.4219 policy_loss=0.010966 value_loss=1.918418
[iter=39935] rollout_mean_bb=12.0449 policy_loss=-0.038768 value_loss=1.682076
[iter=39940] rollout_mean_bb=13.1387 policy_loss=-0.095800 value_loss=1.819129
[iter=39945] rollout_mean_bb=12.8408 policy_loss=0.012199 value_loss=1.722643
[iter=39950] rollout_mean_bb=16.0967 policy_loss=0.002421 value_loss=1.839281
[iter=39955] rollout_mean_bb=12.6533 policy_loss=-0.019180 value_loss=1.633395
[iter=39960] rollout_mean_bb=9.4404 policy_loss=0.004578 value_loss=1.895043
[iter=39965] rollout_mean_bb=9.2881 policy_loss=0.008256 value_loss=1.754833
[iter=39970] rollout_mean_bb=9.0439 policy_loss=0.003194 value_loss=2.043270
[iter=39975] rollout_mean_bb=16.0918 policy_loss=0.002104 value_loss=1.615633
